id;ruolo;nome;squadra;partiteGiocate;mediaVoto;mediaFantaVoto;goalFatti;goalSubiti;rp;rc;r+;r-;assist;asf;ammonizioni;espulsioni;autoGoal;isFavorite
3;P;RADUNOVIC;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
4;P;SPORTIELLO;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
11;D;CONTI;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
15;D;MASIELLO;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
20;C;CIGARINI;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
22;C;DE ROON;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
26;C;GOMEZ;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
27;C;GRASSI;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
28;C;KURTIC;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
40;P;DA COSTA;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
41;P;MIRANTE;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
42;P;SARR M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
45;D;FERRARI A.;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
50;D;MBAYE;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
58;C;DIAWARA;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
73;D;GAGLIOLO;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
74;D;LETIZIA;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
78;D;SPOLLI;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
84;D;MARRONE;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
90;A;LASAGNA;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
92;A;MATOS;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
106;D;MATTIELLO;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
115;C;HETEMAJ;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
118;C;RADOVANOVIC;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
123;A;INGLESE;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
